2024-05-15 15:22:18,323 INFO Loading dictionaries from /home/amt3ad/.conda/envs/diss/lib/python3.10/site-packages/pymorphy2_dicts_ru/data
2024-05-15 15:22:18,366 INFO format: 2.4, revision: 417127, updated: 2020-10-11T15:05:51.070345
2024-05-15 15:22:19,152 DEBUG Loaded backend module://matplotlib_inline.backend_inline version unknown.
2024-05-15 15:22:19,154 DEBUG Loaded backend module://matplotlib_inline.backend_inline version unknown.
2024-05-15 15:22:48,984 DEBUG findfont: score(FontEntry(fname='/home/amt3ad/.conda/envs/diss/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-BoldOblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-05-15 15:22:48,984 DEBUG findfont: score(FontEntry(fname='/home/amt3ad/.conda/envs/diss/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-05-15 15:22:48,984 DEBUG findfont: score(FontEntry(fname='/home/amt3ad/.conda/envs/diss/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneral.ttf', name='STIXGeneral', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-05-15 15:22:48,984 DEBUG findfont: score(FontEntry(fname='/home/amt3ad/.conda/envs/diss/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFiveSymReg.ttf', name='STIXSizeFiveSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-05-15 15:22:48,985 DEBUG findfont: score(FontEntry(fname='/home/amt3ad/.conda/envs/diss/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-05-15 15:22:48,985 DEBUG findfont: score(FontEntry(fname='/home/amt3ad/.conda/envs/diss/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 1.335
2024-05-15 15:22:48,985 DEBUG findfont: score(FontEntry(fname='/home/amt3ad/.conda/envs/diss/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2024-05-15 15:22:48,985 DEBUG findfont: score(FontEntry(fname='/home/amt3ad/.conda/envs/diss/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Oblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 1.05
2024-05-15 15:22:48,985 DEBUG findfont: score(FontEntry(fname='/home/amt3ad/.conda/envs/diss/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2024-05-15 15:22:48,985 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/mathjax/STIXMathJax_Operators-Bold.otf', name='STIX MathJax Operators', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
